City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Avera,US,33.194,-82.5271,78.75,34,0,4.14,clear sky
229,Kaitangata,NZ,-46.2817,169.8464,49.64,94,100,6.69,overcast clouds
230,Bayshore Gardens,US,27.4253,-82.5904,88.99,58,1,10.36,clear sky
231,Road Town,VG,18.4167,-64.6167,86.09,70,40,9.22,scattered clouds
232,Jalu,LY,29.0331,21.5482,86.83,19,0,13.85,clear sky
233,Beringovskiy,RU,63.05,179.3167,38.1,73,42,12.62,scattered clouds
234,Surenavan,AM,39.75,44.8,66.81,35,0,7.18,clear sky
235,Tabuk,PH,17.4189,121.4443,76.71,89,46,3.85,scattered clouds
236,Acarau,BR,-2.8856,-40.12,78.57,78,2,12.77,clear sky
237,Coolum Beach,AU,-26.5333,153.1,60.12,76,21,10.31,few clouds
238,Codajas,BR,-3.8367,-62.0569,77.36,89,59,3.15,broken clouds
239,Atasu,KZ,48.6814,71.6433,68.31,21,68,7.29,broken clouds
240,Colares,PT,38.7992,-9.4469,67.89,64,7,1.99,clear sky
241,Kavaratti,IN,10.5669,72.642,82.62,77,90,16.89,overcast clouds
242,Bam,IR,29.106,58.357,88.25,8,0,9.17,clear sky
243,Berlevag,NO,70.8578,29.0864,42.6,87,75,16.11,broken clouds
244,Krasnyy Chikoy,RU,50.3643,108.7512,33.75,83,27,2.93,scattered clouds
245,Kaeo,NZ,-35.1,173.7833,55.33,98,80,19.8,light rain
246,Codrington,AU,-38.2667,141.9667,39.06,68,2,9.01,clear sky
247,Alofi,NU,-19.0595,-169.9187,82.29,83,61,6.91,light rain
248,Pangnirtung,CA,66.1451,-65.7125,34.72,99,100,4.81,light rain
249,Aksu,CN,41.1231,80.2644,77.25,25,97,7.83,overcast clouds
250,Canaries,ES,28.0,-15.5,61.39,83,75,14.23,broken clouds
251,Vilhena,BR,-12.7406,-60.1458,80.82,57,20,6.91,few clouds
252,Brigantine,US,39.4101,-74.3646,53.89,96,90,19.64,overcast clouds
253,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,90,71,8.05,broken clouds
254,Guabito,PA,9.5,-82.6167,78.69,78,40,3.29,scattered clouds
