City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Paka,MY,78.48,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
155,Palu,ID,78.03,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
157,Catuday,PH,82.13,overcast clouds,16.2923,119.8062,GResort
158,Omboue,GA,75.9,overcast clouds,-1.5746,9.2618,Hotel Olako
164,Vanimo,PG,79.48,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
169,Oussouye,SN,75.74,overcast clouds,12.485,-16.5469,Auberge du Routard
172,Portland,US,89.62,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
181,Bathsheba,BB,80.06,overcast clouds,13.2167,-59.5167,Atlantis Hotel
187,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
188,Bagru,IN,80.94,scattered clouds,26.8088,75.5423,Nandan Green Housed Limited
192,Tuy Hoa,VN,81.37,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
193,Sinjai,ID,76.19,broken clouds,-5.1241,120.253,Wisma Sandika
194,Waddan,LY,79.07,clear sky,29.1614,16.139,محل الشريف محمد العايب
195,Sassandra,CI,76.44,overcast clouds,4.95,-6.0833,la terrasse
197,Nabire,ID,77.13,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
201,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
